Constellation,From,To
Gemini,1928-06-21,1928-07-19
Cancer,1928-07-20,1928-08-09
Leo,1928-08-10,1928-09-15
Virgo,1928-09-16,1928-10-30
Libra,1928-10-31,1928-11-22
Scorpius,1928-11-23,1928-11-29
Ophiucus,1928-11-30,1928-12-17
Sagittarius,1928-12-18,1928-01-19
Capricornus,1928-01-20,1928-02-16
Aquarius,1929-02-16,1929-03-11
Pisces,1929-03-12,1929-04-18
Aries,1929-04-19,1929-05-13
Taurus,1929-05-14,1929-06-21
Gemini,1929-06-22,1929-07-20
Cancer,1929-07-21,1929-08-10
Leo,1929-08-11,1929-09-16
Virgo,1929-09-17,1929-10-30
Libra,1929-10-31,1929-11-22
Scorpius,1929-11-23,1929-11-29
Ophiucus,1929-11-30,1929-12-17
Sagittarius,1929-12-18,1929-01-19
Capricornus,1929-01-20,1929-02-15
Aquarius,1930-02-16,1930-03-11
Pisces,1930-03-12,1930-04-18
Aries,1930-04-19,1930-05-13
Taurus,1930-05-14,1930-06-21
Gemini,1930-06-22,1930-07-20
Cancer,1930-07-21,1930-08-10
Leo,1930-08-11,1930-09-16
Virgo,1930-09-17,1930-10-30
Libra,1930-10-31,1930-11-23
Scorpius,1930-11-24,1930-11-29
Ophiucus,1930-11-30,1930-12-17
Sagittarius,1930-12-18,1930-01-19
Capricornus,1930-01-20,1930-02-15
Aquarius,1931-02-17,1931-03-12
Pisces,1931-03-13,1931-04-18
Aries,1931-04-19,1931-05-14
Taurus,1931-05-15,1931-06-21
Gemini,1931-06-22,1931-07-20
Cancer,1931-07-21,1931-08-10
Leo,1931-08-11,1931-09-16
Virgo,1931-09-17,1931-10-31
Libra,1931-11-01,1931-11-23
Scorpius,1931-11-24,1931-11-29
Ophiucus,1931-11-30,1931-12-18
Sagittarius,1931-12-19,1931-01-19
Capricornus,1931-01-20,1931-02-16
Aquarius,1932-02-17,1932-03-11
Pisces,1932-03-12,1932-04-17
Aries,1932-04-18,1932-05-13
Taurus,1932-05-14,1932-06-20
Gemini,1932-06-21,1932-07-19
Cancer,1932-07-20,1932-08-09
Leo,1932-08-10,1932-09-16
Virgo,1932-09-17,1932-10-30
Libra,1932-10-31,1932-11-22
Scorpius,1932-11-23,1932-11-29
Ophiucus,1932-11-30,1932-12-17
Sagittarius,1932-12-18,1932-01-19
Capricornus,1932-01-20,1932-02-16
Aquarius,1933-02-16,1933-03-11
Pisces,1933-03-12,1933-04-18
