Constellation,From,To
Libra,1955-11-01,1955-11-23
Scorpius,1955-11-24,1955-11-30
Ophiucus,1955-12-01,1955-12-18
Sagittarius,1955-12-19,1955-01-19
Capricornus,1955-01-20,1955-02-16
Aquarius,1956-02-17,1956-03-11
Pisces,1956-03-12,1956-04-18
Aries,1956-04-19,1956-05-13
Taurus,1956-05-14,1956-06-20
Gemini,1956-06-21,1956-07-20
Cancer,1956-07-21,1956-08-10
Leo,1956-08-11,1956-09-16
Virgo,1956-09-17,1956-10-30
Libra,1956-10-31,1956-11-22
Scorpius,1956-11-23,1956-11-29
Ophiucus,1956-11-30,1956-12-17
Sagittarius,1956-12-18,1956-01-20
Capricornus,1956-01-21,1956-02-16
Aquarius,1957-02-16,1957-03-11
Pisces,1957-03-12,1957-04-18
Aries,1957-04-19,1957-05-13
Taurus,1957-05-14,1957-06-21
Gemini,1957-06-22,1957-07-20
Cancer,1957-07-21,1957-08-10
Leo,1957-08-11,1957-09-16
Virgo,1957-09-17,1957-10-30
Libra,1957-10-31,1957-11-23
Scorpius,1957-11-24,1957-11-29
Ophiucus,1957-11-30,1957-12-17
Sagittarius,1957-12-18,1957-01-19
Capricornus,1957-01-20,1957-02-15
Aquarius,1958-02-17,1958-03-12
Pisces,1958-03-13,1958-04-18
Aries,1958-04-19,1958-05-14
Taurus,1958-05-15,1958-06-21
Gemini,1958-06-22,1958-07-20
Cancer,1958-07-21,1958-08-10
Leo,1958-08-11,1958-09-16
Virgo,1958-09-17,1958-10-31
Libra,1958-11-01,1958-11-23
Scorpius,1958-11-24,1958-11-29
Ophiucus,1958-11-30,1958-12-18
Sagittarius,1958-12-19,1958-01-19
Capricornus,1958-01-20,1958-02-16
Aquarius,1959-02-17,1959-03-12
Pisces,1959-03-13,1959-04-18
Aries,1959-04-19,1959-05-14
Taurus,1959-05-15,1959-06-21
Gemini,1959-06-22,1959-07-20
Cancer,1959-07-21,1959-08-10
Leo,1959-08-11,1959-09-16
Virgo,1959-09-17,1959-10-31
Libra,1959-11-01,1959-11-23
Scorpius,1959-11-24,1959-11-30
Ophiucus,1959-12-01,1959-12-18
Sagittarius,1959-12-19,1959-01-19
Capricornus,1959-01-20,1959-02-16
Aquarius,1960-02-17,1960-03-11
Pisces,1960-03-12,1960-04-18
Aries,1960-04-19,1960-05-13
Taurus,1960-05-14,1960-06-20
Gemini,1960-06-21,1960-07-20
Cancer,1960-07-21,1960-08-10
Leo,1960-08-11,1960-09-16
Virgo,1960-09-17,1960-10-30
Libra,1960-10-31,1960-11-22
Scorpius,1960-11-23,1960-11-29
Ophiucus,1960-11-30,1960-12-17
Sagittarius,1960-12-18,1960-01-20
Capricornus,1960-01-21,1960-02-16
Aquarius,1961-02-16,1961-03-11
Pisces,1961-03-12,1961-04-18
Aries,1961-04-19,1961-05-13
Taurus,1961-05-14,1961-06-21
Gemini,1961-06-22,1961-07-20
Cancer,1961-07-21,1961-08-10
Leo,1961-08-11,1961-09-16
Virgo,1961-09-17,1961-10-30
Libra,1961-10-31,1961-11-23
Scorpius,1961-11-24,1961-11-29
Ophiucus,1961-11-30,1961-12-17
Sagittarius,1961-12-18,1961-01-19
Capricornus,1961-01-20,1961-02-15
Aquarius,1962-02-17,1962-03-12
Pisces,1962-03-13,1962-04-18
Aries,1962-04-19,1962-05-14
Taurus,1962-05-15,1962-06-21
Gemini,1962-06-22,1962-07-20
Cancer,1962-07-21,1962-08-10
Leo,1962-08-11,1962-09-16
Virgo,1962-09-17,1962-10-31
Libra,1962-11-01,1962-11-23
Scorpius,1962-11-24,1962-11-29
Ophiucus,1962-11-30,1962-12-18
Sagittarius,1962-12-19,1962-01-19
Capricornus,1962-01-20,1962-02-16
Aquarius,1963-02-17,1963-03-12
Pisces,1963-03-13,1963-04-18
Aries,1963-04-19,1963-05-14
Taurus,1963-05-15,1963-06-21
Gemini,1963-06-22,1963-07-20
Cancer,1963-07-21,1963-08-10
Leo,1963-08-11,1963-09-16
Virgo,1963-09-17,1963-10-31
Libra,1963-11-01,1963-11-23
Scorpius,1963-11-24,1963-11-30
Ophiucus,1963-12-01,1963-12-18
Sagittarius,1963-12-19,1963-01-19
Capricornus,1963-01-20,1963-02-16
Aquarius,1964-02-17,1964-03-11
Pisces,1964-03-12,1964-04-18
Aries,1964-04-19,1964-05-13
Taurus,1964-05-14,1964-06-20
Gemini,1964-06-21,1964-07-20
Cancer,1964-07-21,1964-08-10
Leo,1964-08-11,1964-09-16
Virgo,1964-09-17,1964-10-30
Libra,1964-10-31,1964-11-22
Scorpius,1964-11-23,1964-11-29
Ophiucus,1964-11-30,1964-12-17
Sagittarius,1964-12-18,1964-01-20
Capricornus,1964-01-21,1964-02-16
Aquarius,1965-02-16,1965-03-11
Pisces,1965-03-12,1965-04-18
Aries,1965-04-19,1965-05-13
Taurus,1965-05-14,1965-06-21
Gemini,1965-06-22,1965-07-20
Cancer,1965-07-21,1965-08-10
Leo,1965-08-11,1965-09-16
Virgo,1965-09-17,1965-10-30
Libra,1965-10-31,1965-11-23
Scorpius,1965-11-24,1965-11-29
Ophiucus,1965-11-30,1965-12-17
Sagittarius,1965-12-18,1965-01-19
Capricornus,1965-01-20,1965-02-15
Aquarius,1966-02-17,1966-03-12
Pisces,1966-03-13,1966-04-18
Aries,1966-04-19,1966-05-14
Taurus,1966-05-15,1966-06-21
Gemini,1966-06-22,1966-07-20
Cancer,1966-07-21,1966-08-10
Leo,1966-08-11,1966-09-16
Virgo,1966-09-17,1966-10-31
Libra,1966-11-01,1966-11-23
Scorpius,1966-11-24,1966-11-29
Ophiucus,1966-11-30,1966-12-18
Sagittarius,1966-12-19,1966-01-19
Capricornus,1966-01-20,1966-02-16
Aquarius,1967-02-17,1967-03-12
Pisces,1967-03-13,1967-04-18
Aries,1967-04-19,1967-05-14
Taurus,1967-05-15,1967-06-21
Gemini,1967-06-22,1967-07-20
Cancer,1967-07-21,1967-08-10
Leo,1967-08-11,1967-09-16
Virgo,1967-09-17,1967-10-31
Libra,1967-11-01,1967-11-23
Scorpius,1967-11-24,1967-11-30
Ophiucus,1967-12-01,1967-12-18
Sagittarius,1967-12-19,1967-01-19
Capricornus,1967-01-20,1967-02-16
Aquarius,1968-02-17,1968-03-11
Pisces,1968-03-12,1968-04-18
Aries,1968-04-19,1968-05-13
Taurus,1968-05-14,1968-06-21
Gemini,1968-06-22,1968-07-20
Cancer,1968-07-21,1968-08-10
Leo,1968-08-11,1968-09-16
Virgo,1968-09-17,1968-10-30
Libra,1968-10-31,1968-11-22
Scorpius,1968-11-23,1968-11-29
Ophiucus,1968-11-30,1968-12-17
Sagittarius,1968-12-18,1968-01-20
Capricornus,1968-01-21,1968-02-16
Aquarius,1969-02-16,1969-03-11
Pisces,1969-03-12,1969-04-18
Aries,1969-04-19,1969-05-13
Taurus,1969-05-14,1969-06-21
Gemini,1969-06-22,1969-07-20
Cancer,1969-07-21,1969-08-10
Leo,1969-08-11,1969-09-16
Virgo,1969-09-17,1969-10-30
Libra,1969-10-31,1969-11-23
Scorpius,1969-11-24,1969-11-29
Ophiucus,1969-11-30,1969-12-17
Sagittarius,1969-12-18,1969-01-19
Capricornus,1969-01-20,1969-02-15
Aquarius,1970-02-17,1970-03-12
Pisces,1970-03-13,1970-04-18
Aries,1970-04-19,1970-05-14
Taurus,1970-05-15,1970-06-21
Gemini,1970-06-22,1970-07-20
Cancer,1970-07-21,1970-08-10
Leo,1970-08-11,1970-09-16
Virgo,1970-09-17,1970-10-31
Libra,1970-11-01,1970-11-23
Scorpius,1970-11-24,1970-11-29
Ophiucus,1970-11-30,1970-12-18
Sagittarius,1970-12-19,1970-01-19
Capricornus,1970-01-20,1970-02-16
Aquarius,1971-02-17,1971-03-12
Pisces,1971-03-13,1971-04-18
Aries,1971-04-19,1971-05-14
Taurus,1971-05-15,1971-06-21
Gemini,1971-06-22,1971-07-20
Cancer,1971-07-21,1971-08-10
Leo,1971-08-11,1971-09-17
Virgo,1971-09-18,1971-10-31
Libra,1971-11-01,1971-11-23
Scorpius,1971-11-24,1971-11-30
Ophiucus,1971-12-01,1971-12-18
Sagittarius,1971-12-19,1971-01-19
Capricornus,1971-01-20,1971-02-16
Aquarius,1972-02-17,1972-03-11
Pisces,1972-03-12,1972-04-18
Aries,1972-04-19,1972-05-13
Taurus,1972-05-14,1972-06-21
Gemini,1972-06-22,1972-07-20
Cancer,1972-07-21,1972-08-10
Leo,1972-08-11,1972-09-16
Virgo,1972-09-17,1972-10-30
Libra,1972-10-31,1972-11-22
Scorpius,1972-11-23,1972-11-29
Ophiucus,1972-11-30,1972-12-17
Sagittarius,1972-12-18,1972-01-20
Capricornus,1972-01-21,1972-02-16
Aquarius,1973-02-16,1973-03-11
Pisces,1973-03-12,1973-04-18
Aries,1973-04-19,1973-05-13
Taurus,1973-05-14,1973-06-21
Gemini,1973-06-22,1973-07-20
Cancer,1973-07-21,1973-08-10
Leo,1973-08-11,1973-09-16
Virgo,1973-09-17,1973-10-31
Libra,1973-11-01,1973-11-23
Scorpius,1973-11-24,1973-11-29
Ophiucus,1973-11-30,1973-12-17
Sagittarius,1973-12-18,1973-01-19
Capricornus,1973-01-20,1973-02-15
Aquarius,1974-02-17,1974-03-12
Pisces,1974-03-13,1974-04-18
Aries,1974-04-19,1974-05-14
Taurus,1974-05-15,1974-06-21
Gemini,1974-06-22,1974-07-20
Cancer,1974-07-21,1974-08-10
Leo,1974-08-11,1974-09-16
Virgo,1974-09-17,1974-10-31
Libra,1974-11-01,1974-11-23
Scorpius,1974-11-24,1974-11-29
Ophiucus,1974-11-30,1974-12-18
Sagittarius,1974-12-19,1974-01-19
Capricornus,1974-01-20,1974-02-16
Aquarius,1975-02-17,1975-03-12
Pisces,1975-03-13,1975-04-19
Aries,1975-04-20,1975-05-14
Taurus,1975-05-15,1975-06-21
Gemini,1975-06-22,1975-07-21
Cancer,1975-07-22,1975-08-10
Leo,1975-08-11,1975-09-17
Virgo,1975-09-18,1975-10-31
Libra,1975-11-01,1975-11-23
Scorpius,1975-11-24,1975-11-30
Ophiucus,1975-12-01,1975-12-18
Sagittarius,1975-12-19,1975-01-20
Capricornus,1975-01-21,1975-02-16
Aquarius,1976-02-17,1976-03-11
Pisces,1976-03-12,1976-04-18
Aries,1976-04-19,1976-05-13
Taurus,1976-05-14,1976-06-21
Gemini,1976-06-22,1976-07-20
Cancer,1976-07-21,1976-08-10
Leo,1976-08-11,1976-09-16
Virgo,1976-09-17,1976-10-30
Libra,1976-10-31,1976-11-22
Scorpius,1976-11-23,1976-11-29
Ophiucus,1976-11-30,1976-12-17
Sagittarius,1976-12-18,1976-01-20
Capricornus,1976-01-21,1976-02-16
Aquarius,1977-02-16,1977-03-12
Pisces,1977-03-13,1977-04-18
Aries,1977-04-19,1977-05-14
Taurus,1977-05-15,1977-06-21
Gemini,1977-06-22,1977-07-20
Cancer,1977-07-21,1977-08-10
Leo,1977-08-11,1977-09-16
Virgo,1977-09-17,1977-10-31
Libra,1977-11-01,1977-11-23
Scorpius,1977-11-24,1977-11-29
Ophiucus,1977-11-30,1977-12-17
Sagittarius,1977-12-18,1977-01-19
Capricornus,1977-01-20,1977-02-15
Aquarius,1978-02-17,1978-03-12
Pisces,1978-03-13,1978-04-18
Aries,1978-04-19,1978-05-14
Taurus,1978-05-15,1978-06-21
Gemini,1978-06-22,1978-07-20
Cancer,1978-07-21,1978-08-10
Leo,1978-08-11,1978-09-16
Virgo,1978-09-17,1978-10-31
Libra,1978-11-01,1978-11-23
Scorpius,1978-11-24,1978-11-29
Ophiucus,1978-11-30,1978-12-18
Sagittarius,1978-12-19,1978-01-19
Capricornus,1978-01-20,1978-02-16
Aquarius,1979-02-17,1979-03-12
Pisces,1979-03-13,1979-04-19
Aries,1979-04-20,1979-05-14
Taurus,1979-05-15,1979-06-21
Gemini,1979-06-22,1979-07-21
Cancer,1979-07-22,1979-08-11
Leo,1979-08-12,1979-09-17
Virgo,1979-09-18,1979-10-31
Libra,1979-11-01,1979-11-23
Scorpius,1979-11-24,1979-11-30
Ophiucus,1979-12-01,1979-12-18
Sagittarius,1979-12-19,1979-01-20
Capricornus,1979-01-21,1979-02-16
Aquarius,1980-02-17,1980-03-11
Pisces,1980-03-12,1980-04-18
Aries,1980-04-19,1980-05-13
Taurus,1980-05-14,1980-06-21
Gemini,1980-06-22,1980-07-20
Cancer,1980-07-21,1980-08-10
Leo,1980-08-11,1980-09-16
Virgo,1980-09-17,1980-10-30
Libra,1980-10-31,1980-11-22
Scorpius,1980-11-23,1980-11-29
Ophiucus,1980-11-30,1980-12-17
Sagittarius,1980-12-18,1980-01-20
Capricornus,1980-01-21,1980-02-16
Aquarius,1981-02-16,1981-03-12
Pisces,1981-03-13,1981-04-18
Aries,1981-04-19,1981-05-14
Taurus,1981-05-15,1981-06-21
Gemini,1981-06-22,1981-07-20
Cancer,1981-07-21,1981-08-10
Leo,1981-08-11,1981-09-16
Virgo,1981-09-17,1981-10-31
Libra,1981-11-01,1981-11-23
Scorpius,1981-11-24,1981-11-29
Ophiucus,1981-11-30,1981-12-18
Sagittarius,1981-12-19,1981-01-19
Capricornus,1981-01-20,1981-02-15
Aquarius,1982-02-17,1982-03-12
Pisces,1982-03-13,1982-04-18
Aries,1982-04-19,1982-05-14
Taurus,1982-05-15,1982-06-21
Gemini,1982-06-22,1982-07-20
Cancer,1982-07-21,1982-08-10
Leo,1982-08-11,1982-09-16
Virgo,1982-09-17,1982-10-31
Libra,1982-11-01,1982-11-23
Scorpius,1982-11-24,1982-11-29
Ophiucus,1982-11-30,1982-12-18
Sagittarius,1982-12-19,1982-01-19
Capricornus,1982-01-20,1982-02-16
Aquarius,1983-02-17,1983-03-12
Pisces,1983-03-13,1983-04-19
Aries,1983-04-20,1983-05-14
Taurus,1983-05-15,1983-06-21
Gemini,1983-06-22,1983-07-21
Cancer,1983-07-22,1983-08-11
Leo,1983-08-12,1983-09-17
Virgo,1983-09-18,1983-10-31
Libra,1983-11-01,1983-11-23
Scorpius,1983-11-24,1983-11-30
Ophiucus,1983-12-01,1983-12-18
Sagittarius,1983-12-19,1983-01-20
Capricornus,1983-01-21,1983-02-16
Aquarius,1984-02-17,1984-03-11
Pisces,1984-03-12,1984-04-18
Aries,1984-04-19,1984-05-13
Taurus,1984-05-14,1984-06-21
Gemini,1984-06-22,1984-07-20
Cancer,1984-07-21,1984-08-10
Leo,1984-08-11,1984-09-16
Virgo,1984-09-17,1984-10-30
Libra,1984-10-31,1984-11-22
Scorpius,1984-11-23,1984-11-29
Ophiucus,1984-11-30,1984-12-17
Sagittarius,1984-12-18,1984-01-20
Capricornus,1984-01-21,1984-02-16
Aquarius,1985-02-17,1985-03-12
Pisces,1985-03-13,1985-04-18
Aries,1985-04-19,1985-05-14
Taurus,1985-05-15,1985-06-21
Gemini,1985-06-22,1985-07-20
Cancer,1985-07-21,1985-08-10
Leo,1985-08-11,1985-09-16
Virgo,1985-09-17,1985-10-31
Libra,1985-11-01,1985-11-23
Scorpius,1985-11-24,1985-11-29
Ophiucus,1985-11-30,1985-12-18
Sagittarius,1985-12-19,1985-01-19
Capricornus,1985-01-20,1985-02-16
Aquarius,1986-02-17,1986-03-12
Pisces,1986-03-13,1986-04-18
Aries,1986-04-19,1986-05-14
Taurus,1986-05-15,1986-06-21
Gemini,1986-06-22,1986-07-20
Cancer,1986-07-21,1986-08-10
Leo,1986-08-11,1986-09-16
Virgo,1986-09-17,1986-10-31
Libra,1986-11-01,1986-11-23
Scorpius,1986-11-24,1986-11-29
Ophiucus,1986-11-30,1986-12-18
Sagittarius,1986-12-19,1986-01-19
Capricornus,1986-01-20,1986-02-16
Aquarius,1987-02-17,1987-03-12
Pisces,1987-03-13,1987-04-19
Aries,1987-04-20,1987-05-14
Taurus,1987-05-15,1987-06-21
Gemini,1987-06-22,1987-07-21
Cancer,1987-07-22,1987-08-11
Leo,1987-08-12,1987-09-17
Virgo,1987-09-18,1987-10-31
Libra,1987-11-01,1987-11-23
Scorpius,1987-11-24,1987-11-30
Ophiucus,1987-12-01,1987-12-18
Sagittarius,1987-12-19,1987-01-20
Capricornus,1987-01-21,1987-02-16
Aquarius,1988-02-17,1988-03-11
Pisces,1988-03-12,1988-04-18
Aries,1988-04-19,1988-05-13
Taurus,1988-05-14,1988-06-21
Gemini,1988-06-22,1988-07-20
Cancer,1988-07-21,1988-08-10
Leo,1988-08-11,1988-09-16
Virgo,1988-09-17,1988-10-30
Libra,1988-10-31,1988-11-22
Scorpius,1988-11-23,1988-11-29
Ophiucus,1988-11-30,1988-12-17
Sagittarius,1988-12-18,1988-01-20
Capricornus,1988-01-21,1988-02-16
Aquarius,1989-02-17,1989-03-12
Pisces,1989-03-13,1989-04-18
Aries,1989-04-19,1989-05-14
Taurus,1989-05-15,1989-06-21
Gemini,1989-06-22,1989-07-20
Cancer,1989-07-21,1989-08-10
Leo,1989-08-11,1989-09-16
Virgo,1989-09-17,1989-10-31
Libra,1989-11-01,1989-11-23
Scorpius,1989-11-24,1989-11-29
Ophiucus,1989-11-30,1989-12-18
Sagittarius,1989-12-19,1989-01-19
Capricornus,1989-01-20,1989-02-16
Aquarius,1990-02-17,1990-03-12
Pisces,1990-03-13,1990-04-18
Aries,1990-04-19,1990-05-14
Taurus,1990-05-15,1990-06-21
Gemini,1990-06-22,1990-07-20
Cancer,1990-07-21,1990-08-10
Leo,1990-08-11,1990-09-16
Virgo,1990-09-17,1990-10-31
Libra,1990-11-01,1990-11-23
Scorpius,1990-11-24,1990-11-30
Ophiucus,1990-12-01,1990-12-18
Sagittarius,1990-12-19,1990-01-19
Capricornus,1990-01-20,1990-02-16
Aquarius,1991-02-17,1991-03-12
Pisces,1991-03-13,1991-04-19
Aries,1991-04-20,1991-05-14
Taurus,1991-05-15,1991-06-21
Gemini,1991-06-22,1991-07-21
Cancer,1991-07-22,1991-08-11
Leo,1991-08-12,1991-09-17
Virgo,1991-09-18,1991-10-31
Libra,1991-11-01,1991-11-23
Scorpius,1991-11-24,1991-11-30
Ophiucus,1991-12-01,1991-12-18
Sagittarius,1991-12-19,1991-01-20
Capricornus,1991-01-21,1991-02-16
Aquarius,1992-02-17,1992-03-11
Pisces,1992-03-12,1992-04-18
Aries,1992-04-19,1992-05-13
Taurus,1992-05-14,1992-06-21
Gemini,1992-06-22,1992-07-20
Cancer,1992-07-21,1992-08-10
Leo,1992-08-11,1992-09-16
Virgo,1992-09-17,1992-10-30
Libra,1992-10-31,1992-11-22
Scorpius,1992-11-23,1992-11-29
Ophiucus,1992-11-30,1992-12-17
Sagittarius,1992-12-18,1992-01-20
Capricornus,1992-01-21,1992-02-16
Aquarius,1993-02-17,1993-03-12
Pisces,1993-03-13,1993-04-18
Aries,1993-04-19,1993-05-14
Taurus,1993-05-15,1993-06-21
Gemini,1993-06-22,1993-07-20
Cancer,1993-07-21,1993-08-10
Leo,1993-08-11,1993-09-16
Virgo,1993-09-17,1993-10-31
Libra,1993-11-01,1993-11-23
Scorpius,1993-11-24,1993-11-29
Ophiucus,1993-11-30,1993-12-18
Sagittarius,1993-12-19,1993-01-19
Capricornus,1993-01-20,1993-02-16
Aquarius,1994-02-17,1994-03-12
Pisces,1994-03-13,1994-04-18
Aries,1994-04-19,1994-05-14
Taurus,1994-05-15,1994-06-21
Gemini,1994-06-22,1994-07-20
Cancer,1994-07-21,1994-08-10
Leo,1994-08-11,1994-09-16
Virgo,1994-09-17,1994-10-31
Libra,1994-11-01,1994-11-23
Scorpius,1994-11-24,1994-11-30
Ophiucus,1994-12-01,1994-12-18
Sagittarius,1994-12-19,1994-01-19
Capricornus,1994-01-20,1994-02-16
Aquarius,1995-02-17,1995-03-12
Pisces,1995-03-13,1995-04-19
Aries,1995-04-20,1995-05-14
Taurus,1995-05-15,1995-06-21
Gemini,1995-06-22,1995-07-21
Cancer,1995-07-22,1995-08-11
Leo,1995-08-12,1995-09-17
Virgo,1995-09-18,1995-10-31
Libra,1995-11-01,1995-11-23
Scorpius,1995-11-24,1995-11-30
Ophiucus,1995-12-01,1995-12-18
Sagittarius,1995-12-19,1995-01-20
Capricornus,1995-01-21,1995-02-16
Aquarius,1996-02-17,1996-03-11
Pisces,1996-03-12,1996-04-18
Aries,1996-04-19,1996-05-13
Taurus,1996-05-14,1996-06-21
Gemini,1996-06-22,1996-07-20
Cancer,1996-07-21,1996-08-10
Leo,1996-08-11,1996-09-16
Virgo,1996-09-17,1996-10-30
Libra,1996-10-31,1996-11-23
Scorpius,1996-11-24,1996-11-29
Ophiucus,1996-11-30,1996-12-17
Sagittarius,1996-12-18,1996-01-20
Capricornus,1996-01-21,1996-02-16
Aquarius,1997-02-17,1997-03-12
Pisces,1997-03-13,1997-04-18
Aries,1997-04-19,1997-05-14
Taurus,1997-05-15,1997-06-21
Gemini,1997-06-22,1997-07-20
Cancer,1997-07-21,1997-08-10
Leo,1997-08-11,1997-09-16
Virgo,1997-09-17,1997-10-31
Libra,1997-11-01,1997-11-23
Scorpius,1997-11-24,1997-11-29
Ophiucus,1997-11-30,1997-12-18
Sagittarius,1997-12-19,1997-01-19
Capricornus,1997-01-20,1997-02-16
Aquarius,1998-02-17,1998-03-12
Pisces,1998-03-13,1998-04-18
Aries,1998-04-19,1998-05-14
Taurus,1998-05-15,1998-06-21
Gemini,1998-06-22,1998-07-20
Cancer,1998-07-21,1998-08-10
Leo,1998-08-11,1998-09-16
Virgo,1998-09-17,1998-10-31
Libra,1998-11-01,1998-11-23
Scorpius,1998-11-24,1998-11-30
Ophiucus,1998-12-01,1998-12-18
Sagittarius,1998-12-19,1998-01-19
Capricornus,1998-01-20,1998-02-16
Aquarius,1999-02-17,1999-03-12
Pisces,1999-03-13,1999-04-19
Aries,1999-04-20,1999-05-14
Taurus,1999-05-15,1999-06-21
Gemini,1999-06-22,1999-07-21
Cancer,1999-07-22,1999-08-11
Leo,1999-08-12,1999-09-17
Virgo,1999-09-18,1999-10-31
Libra,1999-11-01,1999-11-23
Scorpius,1999-11-24,1999-11-30
Ophiucus,1999-12-01,1999-12-18
Sagittarius,1999-12-19,1999-01-20
Capricornus,1999-01-21,1999-02-16
Aquarius,2000-02-17,2000-03-11
Pisces,2000-03-12,2000-04-18
Aries,2000-04-19,2000-05-13
Taurus,2000-05-14,2000-06-21
Gemini,2000-06-22,2000-07-20
Cancer,2000-07-21,2000-08-10
Leo,2000-08-11,2000-09-16
Virgo,2000-09-17,2000-10-30
Libra,2000-10-31,2000-11-23
Scorpius,2000-11-24,2000-11-29
Ophiucus,2000-11-30,2000-12-17
Sagittarius,2000-12-18,2000-01-20
Capricornus,2000-01-21,2000-02-16
Aquarius,2001-02-17,2001-03-12
Pisces,2001-03-13,2001-04-18
Aries,2001-04-19,2001-05-14
Taurus,2001-05-15,2001-06-21
Gemini,2001-06-22,2001-07-20
Cancer,2001-07-21,2001-08-10
Leo,2001-08-11,2001-09-16
Virgo,2001-09-17,2001-10-31
Libra,2001-11-01,2001-11-23
Scorpius,2001-11-24,2001-11-29
Ophiucus,2001-11-30,2001-12-18
Sagittarius,2001-12-19,2001-01-19
Capricornus,2001-01-20,2001-02-16
Aquarius,2002-02-17,2002-03-12
Pisces,2002-03-13,2002-04-18
Aries,2002-04-19,2002-05-14
Taurus,2002-05-15,2002-06-21
Gemini,2002-06-22,2002-07-20
Cancer,2002-07-21,2002-08-10
Leo,2002-08-11,2002-09-16
Virgo,2002-09-17,2002-10-31
Libra,2002-11-01,2002-11-23
Scorpius,2002-11-24,2002-11-30
Ophiucus,2002-12-01,2002-12-18
Sagittarius,2002-12-19,2002-01-19
Capricornus,2002-01-20,2002-02-16
Aquarius,2003-02-17,2003-03-12
Pisces,2003-03-13,2003-04-19
Aries,2003-04-20,2003-05-14
Taurus,2003-05-15,2003-06-21
Gemini,2003-06-22,2003-07-21
Cancer,2003-07-22,2003-08-11
Leo,2003-08-12,2003-09-17
Virgo,2003-09-18,2003-10-31
Libra,2003-11-01,2003-11-23
Scorpius,2003-11-24,2003-11-30
Ophiucus,2003-12-01,2003-12-18
Sagittarius,2003-12-19,2003-01-20
Capricornus,2003-01-21,2003-02-16
Aquarius,2004-02-17,2004-03-11
Pisces,2004-03-12,2004-04-18
Aries,2004-04-19,2004-05-13
Taurus,2004-05-14,2004-06-21
Gemini,2004-06-22,2004-07-20
Cancer,2004-07-21,2004-08-10
Leo,2004-08-11,2004-09-16
Virgo,2004-09-17,2004-10-30
Libra,2004-10-31,2004-11-23
Scorpius,2004-11-24,2004-11-29
Ophiucus,2004-11-30,2004-12-17
Sagittarius,2004-12-18,2004-01-20
Capricornus,2004-01-21,2004-02-16
Aquarius,2005-02-17,2005-03-12
Pisces,2005-03-13,2005-04-18
Aries,2005-04-19,2005-05-14
Taurus,2005-05-15,2005-06-21
Gemini,2005-06-22,2005-07-20
Cancer,2005-07-21,2005-08-10
Leo,2005-08-11,2005-09-16
Virgo,2005-09-17,2005-10-31
Libra,2005-11-01,2005-11-23
Scorpius,2005-11-24,2005-11-29
Ophiucus,2005-11-30,2005-12-18
Sagittarius,2005-12-19,2005-01-19
Capricornus,2005-01-20,2005-02-16
Aquarius,2006-02-17,2006-03-12
Pisces,2006-03-13,2006-04-18
Aries,2006-04-19,2006-05-14
Taurus,2006-05-15,2006-06-21
Gemini,2006-06-22,2006-07-20
Cancer,2006-07-21,2006-08-10
Leo,2006-08-11,2006-09-16
Virgo,2006-09-17,2006-10-31
Libra,2006-11-01,2006-11-23
Scorpius,2006-11-24,2006-11-30
Ophiucus,2006-12-01,2006-12-18
Sagittarius,2006-12-19,2006-01-19
Capricornus,2006-01-20,2006-02-16
Aquarius,2007-02-17,2007-03-12
Pisces,2007-03-13,2007-04-19
Aries,2007-04-20,2007-05-14
Taurus,2007-05-15,2007-06-22
Gemini,2007-06-23,2007-07-21
Cancer,2007-07-22,2007-08-11
Leo,2007-08-12,2007-09-17
Virgo,2007-09-18,2007-10-31
Libra,2007-11-01,2007-11-23
Scorpius,2007-11-24,2007-11-30
Ophiucus,2007-12-01,2007-12-18
Sagittarius,2007-12-19,2007-01-20
Capricornus,2007-01-21,2007-02-16
Aquarius,2008-02-17,2008-03-11
Pisces,2008-03-12,2008-04-18
Aries,2008-04-19,2008-05-13
Taurus,2008-05-14,2008-06-21
Gemini,2008-06-22,2008-07-20
Cancer,2008-07-21,2008-08-10
Leo,2008-08-11,2008-09-16
Virgo,2008-09-17,2008-10-30
Libra,2008-10-31,2008-11-23
Scorpius,2008-11-24,2008-11-29
Ophiucus,2008-11-30,2008-12-17
Sagittarius,2008-12-18,2008-01-20
Capricornus,2008-01-21,2008-02-16
Aquarius,2009-02-17,2009-03-12
Pisces,2009-03-13,2009-04-18
Aries,2009-04-19,2009-05-14
Taurus,2009-05-15,2009-06-21
Gemini,2009-06-22,2009-07-20
Cancer,2009-07-21,2009-08-10
Leo,2009-08-11,2009-09-16
Virgo,2009-09-17,2009-10-31
Libra,2009-11-01,2009-11-23
Scorpius,2009-11-24,2009-11-29
Ophiucus,2009-11-30,2009-12-18
Sagittarius,2009-12-19,2009-01-19
Capricornus,2009-01-20,2009-02-16
Aquarius,2010-02-17,2010-03-12
Pisces,2010-03-13,2010-04-18
Aries,2010-04-19,2010-05-14
Taurus,2010-05-15,2010-06-21
Gemini,2010-06-22,2010-07-20
Cancer,2010-07-21,2010-08-10
Leo,2010-08-11,2010-09-16
Virgo,2010-09-17,2010-10-31
Libra,2010-11-01,2010-11-23
Scorpius,2010-11-24,2010-11-30
Ophiucus,2010-12-01,2010-12-18
Sagittarius,2010-12-19,2010-01-19
Capricornus,2010-01-20,2010-02-16
Aquarius,2011-02-17,2011-03-12
Pisces,2011-03-13,2011-04-19
Aries,2011-04-20,2011-05-14
Taurus,2011-05-15,2011-06-22
